ticker,exchange,assetType,priceCurrency,startDate,endDate
FDUSL,NASDAQ,Stock,USD,2/5/18,8/11/20
PRPL,NASDAQ,Stock,USD,2/5/18,8/11/20
OSS,NASDAQ,Stock,USD,2/1/18,8/11/20
SLGL,NASDAQ,Stock,USD,2/1/18,8/11/20
AYRO,NASDAQ,Stock,USD,1/30/18,8/11/20
CLGN,NASDAQ,Stock,USD,1/30/18,8/11/20
MTECU,NASDAQ,Stock,USD,1/30/18,6/17/19
POAI,NASDAQ,Stock,USD,1/29/18,8/11/20
ARMO,NASDAQ,Stock,USD,1/26/18,6/22/18
GECCM,NASDAQ,Stock,USD,1/26/18,8/11/20
SLDB,NASDAQ,Stock,USD,1/26/18,8/11/20
TORC,NASDAQ,Stock,USD,1/26/18,8/11/20
EYEN,NASDAQ,Stock,USD,1/25/18,8/11/20
GPAQU,NASDAQ,Stock,USD,1/25/18,7/1/20
MNLO,NASDAQ,Stock,USD,1/25/18,8/11/20
ELOX,NASDAQ,Stock,USD,1/19/18,8/11/20
SKYL,NASDAQ,Stock,USD,1/18/18,8/11/20
EVFM,NASDAQ,Stock,USD,1/17/18,8/11/20
ILPT,NASDAQ,Stock,USD,1/12/18,8/11/20
STNL,NASDAQ,Stock,USD,1/11/18,11/7/19
STNLW,NASDAQ,Stock,USD,1/10/18,11/7/19
NEBUU,NASDAQ,Stock,USD,1/9/18,6/10/20
CDMO,NASDAQ,Stock,USD,1/8/18,8/11/20
CDMOP,NASDAQ,Stock,USD,1/8/18,8/11/20
FCBP,NASDAQ,Stock,USD,1/5/18,8/11/20
LACQW,NASDAQ,Stock,USD,1/5/18,8/11/20
XSPA,NASDAQ,Stock,USD,1/5/18,8/11/20
EAST,NASDAQ,Stock,USD,1/4/18,8/11/20
VMD,NASDAQ,Stock,USD,1/4/18,8/11/20
CUE,NASDAQ,Stock,USD,1/2/18,8/11/20
PLL,NASDAQ,Stock,USD,1/2/18,8/11/20
RBNC,NASDAQ,Stock,USD,1/2/18,8/11/20
AREC,NASDAQ,Stock,USD,12/29/17,8/11/20
SLS,NASDAQ,Stock,USD,12/29/17,8/11/20
DLPN,NASDAQ,Stock,USD,12/21/17,8/11/20
DLPNW,NASDAQ,Stock,USD,12/21/17,8/11/20
ICLK,NASDAQ,Stock,USD,12/21/17,8/11/20
LX,NASDAQ,Stock,USD,12/21/17,8/11/20
RTKHQ,NASDAQ,Stock,USD,12/20/17,4/17/18
DOGZ,NASDAQ,Stock,USD,12/19/17,8/11/20
CSWCL,NASDAQ,Stock,USD,12/18/17,8/11/20
CASA,NASDAQ,Stock,USD,12/15/17,8/11/20
COWNZ,NASDAQ,Stock,USD,12/15/17,8/11/20
NMRK,NASDAQ,Stock,USD,12/15/17,8/11/20
RILYG,NASDAQ,Stock,USD,12/14/17,8/11/20
DNLI,NASDAQ,Stock,USD,12/8/17,8/11/20
HFGIC,NASDAQ,Stock,USD,12/7/17,4/22/19
ODT,NASDAQ,Stock,USD,12/7/17,8/11/20
QTRX,NASDAQ,Stock,USD,12/7/17,8/11/20
BRPA,NASDAQ,Stock,USD,12/4/17,8/11/20
BRPAR,NASDAQ,Stock,USD,12/1/17,8/11/20
BRPAW,NASDAQ,Stock,USD,12/1/17,8/11/20
CMLSQ,NASDAQ,Stock,USD,12/1/17,6/5/18
